WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
313,BHS,NGDPD,The Bahamas,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.721,10.628,10.957,11.792,11.839,12.162,12.803,13.262,13.71,14.231,14.785,15.346,15.91,2017
419,BHR,NGDPD,Bahrain,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.063,9.189,9.594,11.075,13.15,15.969,18.505,21.73,25.711,22.938,25.713,28.777,30.749,32.539,33.388,31.126,32.25,35.433,38.291,38.952,40.707,42.51,44.237,46.195,48.389,2017
513,BGD,NGDPD,Bangladesh,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",54.586,54.755,57.5,63.204,68.593,70.921,75.77,85.604,97.062,108.896,122.039,131.079,141.705,161.297,184.013,208.322,235.623,262.077,287.63,314.656,343.279,374.653,408.897,446.27,487.059,2017
316,BRB,NGDPD,Barbados,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.059,3.055,3.106,3.21,3.444,3.82,4.217,4.674,4.785,4.466,4.53,4.658,4.61,4.677,4.696,4.725,4.841,4.99,5.145,5.207,5.339,5.546,5.78,6.024,6.278,2018
913,BLR,NGDPD,Belarus,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.758,12.421,14.654,17.812,23.141,30.211,36.963,45.275,60.746,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,59.643,60.951,63.664,66.991,70.147,73.471,76.203,2017
124,BEL,NGDPD,Belgium,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",238.555,238.004,259.661,319.552,371.275,387.994,410.155,472.475,521.084,485.783,484.45,527.492,498.161,521.09,531.651,456.067,469.931,495.757,533.153,531.813,553.781,574.69,597.704,620.586,645.647,2017
339,BLZ,NGDPD,Belize,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.832,0.872,0.933,0.99,1.058,1.114,1.217,1.291,1.369,1.335,1.397,1.487,1.564,1.608,1.693,1.763,1.807,1.863,1.925,1.997,2.071,2.15,2.23,2.314,2.353,2017
638,BEN,NGDPD,Benin,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.576,2.682,3.064,3.912,4.526,4.812,5.147,5.977,7.166,7.116,6.983,7.821,8.157,9.16,9.723,8.295,8.576,9.265,10.456,11.184,12.129,13.157,14.269,15.479,16.816,2015
514,BTN,NGDPD,Bhutan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.436,0.455,0.504,0.575,0.67,0.762,0.858,1.02,1.291,1.214,1.433,1.737,1.814,1.849,1.83,2.028,2.117,2.405,2.627,2.84,2.939,3.154,3.441,3.763,4.079,2016
218,BOL,NGDPD,Bolivia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.385,8.155,7.917,8.092,8.785,9.573,11.136,12.696,16.276,16.701,18.807,22.732,26.674,30.018,32.853,32.907,34.091,38.058,41.41,43.687,47.052,50.791,54.992,59.57,64.862,2017
963,BIH,NGDPD,Bosnia and Herzegovina,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.554,5.784,6.711,8.477,10.157,10.935,12.46,15.323,18.712,17.601,17.164,18.629,17.207,18.155,18.522,16.21,16.91,18.169,19.881,20.152,21.343,22.563,23.945,25.431,27.042,2017
616,BWA,NGDPD,Botswana,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.803,5.514,5.456,7.539,8.966,10.013,10.175,10.941,11.028,10.272,12.794,15.393,16.11,14.915,16.259,14.445,15.658,17.383,18.998,19.651,20.873,21.653,22.523,23.838,24.581,2017
223,BRA,NGDPD,Brazil,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",655.435,559.962,509.358,557.681,668.432,890.671,"1,106.37","1,396.108","1,694.868","1,667.675","2,207.62","2,613.992","2,464.398","2,471.563","2,456.168","1,800.025","1,795.601","2,053.208","1,868.184","1,960.19","2,062.504","2,156.496","2,255.582","2,359.526","2,468.216",2018
516,BRN,NGDPD,Brunei Darussalam,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.662,6.218,6.487,7.279,8.739,10.581,12.736,13.576,16.005,11.892,13.707,18.525,19.047,18.092,17.098,12.931,11.399,12.128,14.082,13.325,14.281,15.332,16.33,17.01,17.203,2017
918,BGR,NGDPD,Bulgaria,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.153,14.076,16.277,20.984,25.958,29.636,34.131,44.41,54.408,51.885,50.611,57.42,53.901,55.557,56.815,50.201,53.236,58.335,64.963,67.044,71.746,76.264,81.116,86.081,91.561,2018
748,BFA,NGDPD,Burkina Faso,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.633,2.836,3.218,4.212,4.843,5.474,5.806,6.781,8.409,8.391,8.963,10.734,11.172,11.955,12.398,10.425,10.893,12.349,14.18,14.882,16.266,17.695,19.261,20.913,22.758,2017
618,BDI,NGDPD,Burundi,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.87,0.877,0.825,0.785,0.915,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.575,2.934,3.005,3.138,3.396,3.436,3.573,3.714,3.862,4.078,4.349,4.64,2015
624,CPV,NGDPD,Cabo Verde,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.589,0.616,0.679,0.891,1.023,1.09,1.237,1.514,1.789,1.712,1.664,1.865,1.752,1.851,1.861,1.597,1.664,1.776,1.97,2.042,2.208,2.378,2.564,2.759,2.976,2017
522,KHM,NGDPD,Cambodia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.667,3.992,4.289,4.665,5.334,6.287,7.268,8.63,10.342,10.391,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.225,24.523,26.979,29.309,31.802,34.448,37.245,40.236,2017
622,CMR,NGDPD,Cameroon,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.802,10.377,11.588,14.558,17.44,17.974,19.373,22.397,26.534,26.085,26.193,29.364,29.121,32.358,34.999,30.932,32.635,34.993,38.521,39.219,42.047,45.019,48.399,52.043,56.178,2017
156,CAN,NGDPD,Canada,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",744.766,738.999,760.64,895.569,"1,026.674","1,173.143","1,319.306","1,468.823","1,552.933","1,374.624","1,617.266","1,792.833","1,828.686","1,847.207","1,803.529","1,556.127","1,530.273","1,650.187","1,711.387","1,739.11","1,832.491","1,925.551","2,027.395","2,133.717","2,242.038",2018
626,CAF,NGDPD,Central African Republic,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.885,0.897,0.963,1.11,1.257,1.337,1.461,1.698,1.985,1.982,1.986,2.196,2.171,1.519,1.706,1.585,1.756,1.937,2.185,2.285,2.485,2.691,2.917,3.154,3.461,2012
628,TCD,NGDPD,Chad,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.572,1.936,2.257,3.102,5.003,6.681,7.45,8.687,10.438,9.312,10.702,12.181,12.411,12.994,14.003,10.952,10.095,9.892,10.919,11.372,12.547,13.636,14.89,15.854,17.047,2017
228,CHL,NGDPD,Chile,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",77.815,70.971,69.729,75.643,99.224,122.996,154.864,173.569,179.488,172.52,218.308,252.096,267.021,278.345,260.479,243.908,250.265,277.668,298.172,295.614,313.561,329.797,346.539,364.091,383.171,2018
924,CHN,NGDPD,China,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,214.915","1,344.077","1,477.501","1,671.065","1,966.244","2,308.8","2,774.293","3,571.451","4,604.285","5,121.681","6,066.351","7,522.103","8,570.348","9,635.025","10,534.526","11,226.186","11,221.836","12,062.281","13,407.398","14,216.503","15,468.095","16,806.501","18,206.847","19,713.516","21,309.503",2018
233,COL,NGDPD,Colombia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",98.931,97.272,97.02,93.75,115.986,145.162,161.364,205.755,242.028,232.565,286.039,334.476,370.345,381.844,381.241,293.493,282.72,311.796,333.114,336.599,352.81,372.692,393.542,415.969,439.251,2017
632,COM,NGDPD,Comoros,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.202,0.22,0.252,0.325,0.363,0.388,0.404,0.466,0.533,0.537,0.544,0.611,0.596,0.658,0.686,0.582,0.612,0.649,0.742,0.726,0.773,0.821,0.872,0.925,0.984,2017
636,COD,NGDPD,Democratic Republic of the Congo,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.077,8.173,8.719,8.954,10.341,11.951,14.296,16.364,19.129,18.315,20.641,24.575,27.566,32.676,35.918,38.402,39.324,41.447,42.644,48.458,52.475,55.036,57.634,60.255,63.294,2018
634,COG,NGDPD,Republic of Congo,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.22,2.794,3.02,3.502,4.653,6.097,7.738,7.446,10.224,9.363,12.304,14.811,13.664,14.026,14.099,8.554,7.787,8.992,11.188,11.162,11.367,11.486,11.245,11.303,11.666,2017
